Crop // Variety,Block,Bed,Plan Field Year,Plan Field Week,Actual Field Week,Actual Field Date,Actual Bedft,Notes,Finished Harvesting
Asparagus // Jersey Supreme,A2,25,2025,1,1,2025-01-01,200,,TRUE
Asparagus // Jersey Supreme,A2,24,2025,1,1,2025-01-01,200,,TRUE
Asparagus // Jersey Supreme,A2,23,2025,1,1,2025-01-01,100,,TRUE
Asparagus // Millenium,A2,23,2025,1,1,2025-01-01,100,,TRUE
Asparagus // Millenium,A2,22,2025,1,1,2025-01-01,200,,TRUE
Asparagus // Millenium,A2,21,2025,1,1,2025-01-01,200,,TRUE
Garlic // German White,D1,2,2025,1,1,2025-01-01,200,Planted Nov 2024,TRUE
Garlic // German White,D1,3,2025,1,1,2025-01-01,125,Planted Nov 2024,TRUE
Garlic // German White,D1,4,2025,1,1,2025-01-01,200,Planted Nov 2024,TRUE
Garlic // Hardneck - Em,D1,7,2025,1,1,2025-01-01,100,Planted Nov 2024,TRUE
Garlic // Hardneck - Em,D1,8,2025,1,1,2025-01-01,100,Planted Nov 2024,TRUE
Garlic // Music,D1,4,2025,1,1,2025-01-01,75,Planted Nov 2024,TRUE
Garlic // Music,D1,5,2025,1,1,2025-01-01,200,Planted Nov 2024,TRUE
Garlic // Music,D1,6,2025,1,1,2025-01-01,150,Planted Nov 2024,TRUE
Garlic // Softneck - Em,D1,6,2025,1,1,2025-01-01,50,Planted Nov 2024,TRUE
Garlic // Softneck - Em,D1,7,2025,1,1,2025-01-01,100,Planted Nov 2024,TRUE
Greens Mix Baby Kale // Red Russian Kale,HT3,6,2025,6,6,2025-02-07,50,Went in SN bed after botrytis die off,TRUE
Arugula // Astro,HT5,8,2025,6,6,2025-02-07,50,,TRUE
Greens Mix Cheap Frills // Cheap Frills,HT5,8,2025,6,6,2025-02-07,50,,TRUE
Bok Choy // Bopak,HT3,4,2024,7,8,2024-02-21,94,"planted 80', filled in with more raab",TRUE
Broccoli Raab // Novantina,HT3,3,2024,7,8,2024-02-21,47,west side,TRUE
Broccoli Raab // Quarantina,HT3,3,2024,7,8,2024-02-21,47,east side,TRUE
Arugula // Astro,HT5,,2025,7,1,2025-01-01,NA,Cancel,TRUE
Peas Snap PP // Sugar Snap,HT3,5,2024,8,8,2024-02-23,94,,TRUE
Peas Snap PP // Sugar Snap,HT3,6,2024,8,8,2024-02-23,94,,TRUE
Bok Choy // Little Shanghai,HT5,,2025,8,1,2025-01-01,NA,Cancel,TRUE
Bok Choy // Bopak,HT1,8,2024,9,11,2024-03-14,94,,TRUE
Greens Mix Misc // Red Russian Kale,HT1,6,2024,9,11,2024-03-14,47,,TRUE
Kale Lacinato // Black Magic,CAT3,1,2024,10,9,2024-02-28,90,Eaten by critters!,TRUE
Lettuce Mix SN // Red Sweet Crisp,HT1,1,2024,10,13,2024-03-28,94,,TRUE
Arugula // Astro,HT2,5,2024,10,11,2024-03-14,54,,TRUE
Lettuce Mini Gem // Rosaine,HT5,8,2024,10,9,2024-02-28,94,,TRUE
Broccolini // BC1611,JSS,3,2024,10,9,2024-02-28,90,Plant 2 rows 1' next time,TRUE
Spinach // Kolibri,CAT3,1,2025,10,13,2025-03-28,100,,TRUE
Spinach // Kolibri,CAT3,2,2025,10,13,2025-03-26,100,,TRUE
Spinach // Kolibri,CAT3,3,2025,10,13,2025-03-26,100,,TRUE
Arugula // Astro,HT5,5,2025,10,10,2025-03-05,100,Interplant with peas,TRUE
Arugula // Astro,HT5,7,2025,10,10,2025-03-05,100,Interplant with peas,TRUE
Arugula // Astro,HT5,1,2025,10,12,2025-03-21,100,Interplant with peas,TRUE
Arugula // Astro,HT5,3,2025,10,12,2025-03-21,100,Interplant with peas,TRUE
Bok Choy // Little Shanghai,HT5,4,2025,10,11,2025-03-14,100,75' mei qing / 25' Bl summer,TRUE
Greens Mix Baby Kale // Red Russian Kale,HT5,6,2025,10,10,2025-03-05,50,"Not in plan, replaced missed Bok Choy from wk 8",TRUE
Greens Mix Cheap Frills // Cheap Frills,HT5,6,2025,10,10,2025-03-05,50,"Not in plan, replaced missed Bok Choy from wk 8",TRUE
