Planting ID,Walk Date,Condition,Yield Adjust %,Notes,Crop // Variety,Block,Bed,Plan Field Year,Plan Field Week
,2025-01-01,Good,100,,Asparagus // Jersey Supreme,A2,25,2025,1
,2025-01-01,Good,100,,Asparagus // Jersey Supreme,A2,24,2025,1
,2025-01-01,Good,100,,Asparagus // Jersey Supreme,A2,23,2025,1
,2025-01-01,Good,100,,Asparagus // Millenium,A2,23,2025,1
,2025-01-01,Good,100,,Asparagus // Millenium,A2,22,2025,1
,2025-01-01,Good,100,,Asparagus // Millenium,A2,21,2025,1
,2025-01-01,Good,100,Planted Nov 2024,Garlic // German White,D1,2,2025,1
,2025-01-01,Good,100,Planted Nov 2024,Garlic // German White,D1,3,2025,1
,2025-01-01,Good,100,Planted Nov 2024,Garlic // German White,D1,4,2025,1
,2025-01-01,Good,100,Planted Nov 2024,Garlic // Hardneck - Em,D1,7,2025,1
,2025-01-01,Good,100,Planted Nov 2024,Garlic // Hardneck - Em,D1,8,2025,1
,2025-01-01,Good,100,Planted Nov 2024,Garlic // Music,D1,4,2025,1
,2025-01-01,Good,100,Planted Nov 2024,Garlic // Music,D1,5,2025,1
,2025-01-01,Good,100,Planted Nov 2024,Garlic // Music,D1,6,2025,1
,2025-01-01,Good,100,Planted Nov 2024,Garlic // Softneck - Em,D1,6,2025,1
,2025-01-01,Good,100,Planted Nov 2024,Garlic // Softneck - Em,D1,7,2025,1
,2025-02-07,Good,100,Went in SN bed after botrytis die off,Greens Mix Baby Kale // Red Russian Kale,HT3,6,2025,6
,2025-02-07,Good,100,,Arugula // Astro,HT5,8,2025,6
,2025-02-07,Good,100,,Greens Mix Cheap Frills // Cheap Frills,HT5,8,2025,6
,2024-02-21,Good,100,"planted 80', filled in with more raab",Bok Choy // Bopak,HT3,4,2024,7
,2024-02-21,Good,100,west side,Broccoli Raab // Novantina,HT3,3,2024,7
,2024-02-21,Good,100,east side,Broccoli Raab // Quarantina,HT3,3,2024,7
,2025-01-01,Good,100,Cancel,Arugula // Astro,HT5,,2025,7
,2024-02-23,Good,100,,Peas Snap PP // Sugar Snap,HT3,5,2024,8
,2024-02-23,Good,100,,Peas Snap PP // Sugar Snap,HT3,6,2024,8
,2025-01-01,Good,100,Cancel,Bok Choy // Little Shanghai,HT5,,2025,8
,2024-03-14,Good,100,,Bok Choy // Bopak,HT1,8,2024,9
,2024-03-14,Good,100,,Greens Mix Misc // Red Russian Kale,HT1,6,2024,9
