Crop Name,Product Name,Sale Price,Sale Unit,Harvest Qty Per Sale Unit,SKU,Is Active
Artichoke,Artichoke - lb,$9.00,lb,1,-lb,true
Arugula,Arugula - lb,$8.00,lb,1,-lb,true
Arugula,Arugula - 5 lbs,$37.50,5 lbs,5,-5 lb,true
Arugula,Arugula - 2/3 lb,$11.00,2/3 lb,0.67,-2/3 lb,true
Arugula,Arugula - 1/3 lb,$6.00,1/3 lb,0.33,-1/3 lb,true
Basil,Basil - bunch,$3.00,bunch,1,-bu,true
Basil,Basil - 12 bu,$27.00,12 bu,12,-12 bu,true
Bean Long,Bean Long - bunch,$4.00,bunch,1,-bu,true
Bean Snap,Bean Snap - quart,$4.00,quart,1,-qt,true
Bean Snap,Bean Snap - lb,$5.00,lb,1,-lb,true
Bean Snap,Bean Snap - bunch,$4.00,bunch,0.65,-bu,true
Beets Bulk Chioggia,Beets Bulk Chioggia - lb,$3.00,lb,1,-lb,true
Beets Bulk Chioggia,Beets Bulk Chioggia - 10 lbs,$18.00,10 lbs,10,-10 lbs,true
Beets Bulk Golden,Beets Bulk Golden - lb,$3.00,lb,1,-lb,true
Beets Bulk Golden,Beets Bulk Golden - 10 lbs,$18.00,10 lbs,10,-10 lbs,true
Beets Bulk Red,Beets Bulk Red - lb,$3.00,lb,1,-lb,true
Beets Bulk Red,Beets Bulk Red - 10 lbs,$15.00,10 lbs,10,-10 lbs,true
Beets Chioggia,Beets Chioggia - bunch,$4.00,bunch,1,-bu,true
Beets Chioggia,Beets Chioggia - 12 bu,$30.00,12 bu,12,-12 bu,true
Beets Golden,Beets Golden - bunch,$4.00,bunch,1,-bu,true
Beets Golden,Beets Golden - 12 bu,$30.00,12 bu,12,-12 bu,true
Beets Golden P,Beets Golden P - bunch,$4.00,bunch,1,-bu,true
Beets Golden P,Beets Golden P - 12 bu,$27.00,12 bu,12,-12 bu,true
Beets Red,Beets Red - bunch,$4.00,bunch,1,-bu,true
Beets Red,Beets Red - 12 bu,$30.00,12 bu,12,-12 bu,true
Beets Red P,Beets Red P - bunch,$4.00,bunch,1,-bu,true
Beets Red P,Beets Red P - 12 bu,$27.00,12 bu,12,-12 bu,true
Bok Choy,Bok Choy - each,$2.00,each,1,-ea,true
