Crop,Type,Botanical Family,Fresh or Storage,Storage Weeks,Can Hold In Field,Harvest Units,Average Unit Weight,Units Per Bin,Harvest Bin,Harvest Tools,Harvest Rate (units per hour),Nursery Weeks,Weeks Until Pot Up,Pot Up Tray Size,Seeded Tray Size,Seeds Per Cell,Thinned Plants,Seeds Per Ounce
Amaranth,Salad Greens,Amaranthaceae,Fresh Holds,0,Yes,pounds,1,15,rubbermaid,Knife,20,,,,,,,
Artichoke,Specialty/Misc,Aster,Storage,1,Yes,pounds,0.2,20,rubbermaid,5 gal bucket,40,10,4,18,128,1,,600
Arugula,Salad Greens,Brassica,Fresh Perishable,0,No,pounds,1,15,rubbermaid,Knife,20,,,,,,,18200
Asparagus,Specialty/Misc,Asparagaceae,Storage,1,No,pounds,0.5,40,rubbermaid,Knife,10,,,,,,,
Basil,Herbs,Lamiaceae,Fresh Perishable,0,No,bunches,0.25,30,rubbermaid,Snips,40,6,,,128,2,1,46700
Bean Snap,Specialty/Misc,Fabaceae,Storage,1,No,bunches,0.6,40,rubbermaid,Belly Bucket,30,,,,,,,85
Beets Bulk Golden,Roots,Chenopod,Storage,10,Yes,pounds,1,50,grain bags,5 gal bucket,100,,,,,,,3000
Beets Bulk Red,Roots,Chenopod,Storage,10,Yes,pounds,1,50,grain bags,5 gal bucket,100,,,,,,,3000
Beets Golden,Roots,Chenopod,Fresh Holds,0,Yes,bunches,1,15,rubbermaid,,30,,,,,,,3000
Beets Golden PP,Roots,Chenopod,Fresh Holds,0,Yes,bunches,1,15,rubbermaid,,30,4,,,264,1,,3000
Beets Red,Roots,Chenopod,Fresh Holds,0,Yes,bunches,1,15,rubbermaid,,30,,,,,,,3000
Beets Red PP,Roots,Chenopod,Fresh Perishable,0,No,bunches,1,15,rubbermaid,,30,4,,,264,1,,3000
Bok Choy,Greens,Brassica,Fresh Perishable,0,No,eaches,0.25,45,rubbermaid,,90,4,,,128,1,,8600
Bok Choy Small,Greens,Brassica,Fresh Perishable,0,No,pounds,0.1,20,rubbermaid,,40,4,,,128,1,,8600
Broccoli Raab,Greens,Brassica,Fresh Perishable,0,No,bunches,0.5,15,rubbermaid,,30,5,,,128,1,,15500
Broccolini,Specialty/Misc,Brassica,Fresh Perishable,0,No,bunches,0.75,25,rubbermaid,Belly Bucket,20,5,,,72,1,,4900
Brussels Sprouts,Specialty/Misc,Brassica,Storage,4,Yes,stalk,1,150,bulk bin,Snips,60,5,,,72,1,,4000
Brussels Tops,Greens,Brassica,Storage,8,Yes,pounds,1,8,grain bags,Knife,40,,,,,,,4000
Cabbage,Brassica,Brassica,Storage,4,Yes,heads,1,6,rubbermaid,Knife,50,5,,,72,1,,5500
Cabbage Chinese,Brassica,Brassica,Storage,4,No,heads,1,12,rubbermaid,Knife,50,5,,,72,1,,8400
Cabbage Storage,Brassica,Brassica,Storage,12,Yes,heads,1,400,bulk bin,Knife,50,5,,,72,1,,5500
Carrot,Roots,Apiaceae,Fresh Holds,0,Yes,bunches,1,15,bulk bin,,25,,,,,,,15600
Carrot Bulk,Roots,Apiaceae,Storage,24,Yes,pounds,1,50,grain bags,5 gal bucket,100,,,,,,,15600
Cauliflower,Specialty/Misc,Brassica,Fresh Holds,0,Yes,heads,1,8,rubbermaid,Knife,40,5,,,72,1,,15600
Cauliflower Sprouting,Specialty/Misc,Brassica,Fresh Perishable,0,No,eaches,1,8,rubbermaid,Belly Bucket,40,5,,,72,1,,6000
Celery,Herbs,Apiaceae,Fresh Holds,0,Yes,bunches,1,15,rubbermaid,Knife,40,10,4,72,Speed,1,,66000
