Pack Date,Planning Year,Mix Product Name,Component Crop Name,Component Percent,Component Quantity,Component Unit,Variety Request,Safety Factor,Harvest Date,Notes,Component Source Type
2025-02-15,2025,Salad Mix,Greens Mix Cheap Frills,8,3.4,,,1.1,2025-02-13,,crop
2025-02-15,2025,Salad Mix,Lettuce Mix SN,25,10.5,,,1.1,2025-02-13,,crop
2025-02-15,2025,Salad Mix,Radicchio Round,47,19.8,,,1.1,2025-02-13,,crop
2025-02-15,2025,Salad Mix,Lettuce Mini Gem,12,5.1,,,1.1,2025-02-13,,crop
2025-02-15,2025,Salad Mix,Arugula,8,3.4,,,1.1,2025-02-13,,crop
2025-02-22,2025,Salad Mix,Greens Mix Cheap Frills,12,3.7,,,1.1,2025-02-20,,crop
2025-02-22,2025,Salad Mix,Lettuce Mix SN,20,6.1,,,1.1,2025-02-20,,crop
2025-02-22,2025,Salad Mix,Lettuce Mini Gem,20,6.1,,,1.1,2025-02-20,,crop
2025-02-22,2025,Salad Mix,Radicchio Round,35,10.7,,,1.1,2025-02-20,,crop
2025-02-22,2025,Salad Mix,Arugula,13,4,,,1.1,2025-02-20,,crop
2025-03-01,2025,Salad Mix,Radicchio Round,32,11.3,,,1.1,2025-02-27,,crop
2025-03-01,2025,Salad Mix,Lettuce Mini Gem,28,9.9,,,1.1,2025-02-27,,crop
2025-03-01,2025,Salad Mix,Greens Mix Cheap Frills,10,3.5,,,1.1,2025-02-27,,crop
2025-03-01,2025,Salad Mix,Arugula,10,3.5,,,1.1,2025-02-27,,crop
2025-03-01,2025,Salad Mix,Lettuce Mix SN,20,7,,,1.1,2025-02-27,,crop
2025-03-08,2025,Salad Mix,Lettuce Mini Gem,33,7.3,,,1.1,2025-03-06,,crop
2025-03-08,2025,Salad Mix,Greens Mix Cheap Frills,1,0.2,,,1.1,2025-03-06,,crop
2025-03-08,2025,Salad Mix,Arugula,33,7.3,,,1.1,2025-03-06,,crop
2025-03-08,2025,Salad Mix,Lettuce Mix SN,33,7.3,,,1.1,2025-03-06,,crop
2025-03-15,2025,Salad Mix,Lettuce Mini Gem,35,9.2,,,1.1,2025-03-13,,crop
2025-03-15,2025,Salad Mix,Greens Mix Cheap Frills,17,4.5,,,1.1,2025-03-13,,crop
2025-03-15,2025,Salad Mix,Arugula,18,4.8,,,1.1,2025-03-13,,crop
2025-03-15,2025,Salad Mix,Lettuce Mix SN,30,7.9,,,1.1,2025-03-13,,crop
2025-03-22,2025,Salad Mix,Lettuce Mini Gem,45,13.4,,,1.1,2025-03-20,,crop
2025-03-22,2025,Salad Mix,Greens Mix Cheap Frills,10,3,,,1.1,2025-03-20,,crop
2025-03-22,2025,Salad Mix,Arugula,15,4.5,,,1.1,2025-03-20,,crop
2025-03-22,2025,Salad Mix,Lettuce Mix SN,25,7.4,,,1.1,2025-03-20,,crop
