Sale Date,Harvest Date,Planning Year,Channel Name,Product Name,Actual Price,Brought Quantity,Returned Quantity,Actual Quantity,Actual Revenue,Notes,Entry Kind
2026-01-03,1/1/2026,2026,KFM,Arugula - 1/3 lb,$7.00,14,0,14,$98.00,,actual
2026-01-03,1/1/2026,2026,KFM,Beets Bulk Red - lb,$3.50,11,5,6,$21.00,,actual
2026-01-03,1/1/2026,2026,KFM,Bok Choy - ea,$5.00,20,0,20,$100.00,Variety: 1/2 lb bags,actual
2026-01-03,1/1/2026,2026,KFM,Braising Mix - 1 lb,$9.00,36,0,36,$324.00,,actual
2026-01-03,1/1/2026,2026,KFM,Cabbage Chinese - lb,$4.00,30,7.5,22.5,$90.00,,actual
2026-01-03,1/1/2026,2026,KFM,Cabbage Cone Storage - lb,$2.00,45.1,0,45.1,$90.20,,actual
2026-01-03,1/1/2026,2026,KFM,Cabbage Green Storage - lb,$2.00,22,2.7,19.3,$38.60,,actual
2026-01-03,1/1/2026,2026,KFM,Cabbage Red - lb,$3.00,29.2,1.4,27.8,$83.40,,actual
2026-01-03,1/1/2026,2026,KFM,Cabbage Savoy - lb,$3.00,22.8,11.4,11.4,$34.20,,actual
2026-01-03,1/1/2026,2026,KFM,Carrot Bulk - lb,$3.50,198,50,148,$518.00,,actual
2026-01-03,1/1/2026,2026,KFM,Chard - bu,$5.00,12,0,12,$60.00,,actual
2026-01-03,1/1/2026,2026,KFM,Collards - bu,$5.00,20,0,20,$100.00,,actual
2026-01-03,1/1/2026,2026,KFM,Dandelion - bu,$5.00,0,0,0,$0.00,,actual
2026-01-03,1/1/2026,2026,KFM,Kale Curly - bu,$5.00,15,0,15,$75.00,,actual
2026-01-03,1/1/2026,2026,KFM,Kale Lacinato - bu,$5.00,90,0,90,$450.00,,actual
2026-01-03,1/1/2026,2026,KFM,Kale Russian - bu,$5.00,20,0,20,$100.00,,actual
2026-01-03,1/1/2026,2026,KFM,Kohlrabi Storage - ea,$4.00,30,9,21,$84.00,,actual
2026-01-03,1/1/2026,2026,KFM,Mustard - bu,$5.00,5,0,5,$25.00,,actual
2026-01-03,1/1/2026,2026,KFM,Potato Red - lb,$3.50,48,15,33,$115.50,,actual
2026-01-03,1/1/2026,2026,KFM,Potato White - lb,$3.50,59,20,39,$136.50,,actual
2026-01-03,1/1/2026,2026,KFM,Potato Yellow - lb,$3.50,80,18,62,$217.00,,actual
2026-01-03,1/1/2026,2026,KFM,Radicchio Forced - lb,$9.00,0,0,0,$0.00,Variety: pink,actual
2026-01-03,1/1/2026,2026,KFM,Radicchio Round - lb,$9.00,27,0,27,$243.00,,actual
2026-01-03,1/1/2026,2026,KFM,Radicchio Treviso - lb,$9.00,0,0,0,$0.00,,actual
2026-01-03,1/1/2026,2026,KFM,Radish Daikon Bulk - lb,$3.50,52,22,30,$105.00,,actual
2026-01-03,1/1/2026,2026,KFM,Salad Mix - 1/3 lb,$7.00,23,0,23,$161.00,,actual
2026-01-03,1/1/2026,2026,KFM,Salad Mix - 2/3 lb ,$14.00,35,0,35,$490.00,,actual
2026-01-03,1/1/2026,2026,KFM,Spinach - 1 lb,$14.00,14,0,14,$196.00,,actual
2026-01-03,1/1/2026,2026,KFM,Spinach - 1/2 lb,$7.00,8,0,8,$56.00,,actual
2026-01-03,1/1/2026,2026,KFM,Sweet Potato Covington - lb,$3.50,45,10,35,$122.50,,actual
2026-01-03,1/1/2026,2026,KFM,Sweet Potato Murasaki - lb,$3.50,45,3,42,$147.00,,actual
2026-01-03,1/1/2026,2026,KFM,Winter Squash Butternut - lb,$3.00,83,30,53,$159.00,,actual
2026-01-03,1/1/2026,2026,KFM,Winter Squash Futsu - lb,$3.00,16.5,2.6,13.9,$41.70,,actual
2026-01-03,1/1/2026,2026,KFM,Winter Squash Koginut - lb,$3.00,33.3,0,33.3,$99.90,,actual
2026-01-10,1/8/2026,2026,BFM,Arugula - 1/3 lb,$7.00,0,0,0,$0.00,,actual
2026-01-10,1/8/2026,2026,BFM,Bok Choy - ea,$5.00,18,0,18,$90.00,Variety: 1/2 lb bags,actual
2026-01-10,1/8/2026,2026,BFM,Braising Mix - 1 lb,$9.00,20,0,20,$180.00,,actual
2026-01-10,1/8/2026,2026,BFM,Cabbage Chinese - lb,$4.00,25.2,5.2,20,$80.00,,actual
2026-01-10,1/8/2026,2026,BFM,Cabbage Cone Storage - lb,$2.00,41.5,9.4,32.1,$64.20,,actual
