Block,Block Type,# of Beds,Bed Width (feet),Bedfeet per Bed,Bedfeet in Block,Square Feet in Block,Acreage in Block
2,Field,30,3.5,100,3000,10500,0.24
3,Field,30,3.5,90,2700,9450,0.22
4,Field,30,3.5,150,4500,15750,0.36
5,Field,20,3.5,150,3000,10500,0.24
A2,Field,18,3.5,200,3600,12600,0.29
A3,Field,30,3.5,200,6000,21000,0.48
B1,Field,30,3.5,100,3000,10500,0.24
B2,Field,30,3.5,200,6000,21000,0.48
B3,Field,30,3.5,200,6000,21000,0.48
C1,Field,30,3.5,200,6000,21000,0.48
C2,Field,30,3.5,200,6000,21000,0.48
C3,Field,30,3.5,200,6000,21000,0.48
D1,Field,30,3.5,200,6000,21000,0.48
D2,Field,30,3.5,200,6000,21000,0.48
D3,Field,30,3.5,200,6000,21000,0.48
E1,Field,25,3.5,200,5000,17500,0.4
E2,Field,20,3.5,200,4000,14000,0.32
CAT1,High Tunnel,3,3.5,100,300,1050,0.02
CAT2,High Tunnel,3,3.5,100,300,1050,0.02
CAT3,High Tunnel,3,3.5,100,300,1050,0.02
CAT4,High Tunnel,3,3.5,100,300,1050,0.02
GH,Greenhouse,0,0,0,0,0,0
HT1,High Tunnel,8,3.5,100,800,2800,0.06
HT2,High Tunnel,8,3.5,110,880,3080,0.07
HT3,High Tunnel,8,3.5,100,800,2800,0.06
JSS,High Tunnel,3,3.5,100,300,1050,0.02
RT,High Tunnel,8,3.5,50,400,1400,0.03
HT4,High Tunnel,8,3.5,100,800,2800,0.06
HT5,High Tunnel,8,3.5,100,800,2800,0.06
X1,Field,30,3.5,200,6000,21000,0.48
X2,Field,30,3.5,200,6000,21000,0.48
X3,Field,30,3.5,200,6000,21000,0.48
Y1,Field,30,3.5,200,6000,21000,0.48
Y2,Field,30,3.5,200,6000,21000,0.48
Y3,Field,30,3.5,200,6000,21000,0.48
Z1,Field,30,3.5,200,6000,21000,0.48
Z2,Field,30,3.5,200,6000,21000,0.48
Z3,Field,30,3.5,200,6000,21000,0.48
HT-W,High Tunnel,63,3.5,100,6300,22050,0.51
