Crop,Type,Botanical Family,Fresh or Storage,Storage Weeks,Can Hold In Field,Harvest Units,Average Unit Weight,Units Per Bin,Harvest Bin,Harvest Tools,Harvest Rate (units per hour),Nursery Weeks,Weeks Until Pot Up,Pot Up Tray Size,Seeded Tray Size,Seeds Per Cell,Thinned Plants,Seeds Per Ounce
Artichoke,Specialty/Misc,Aster,Storage,1,Yes,pounds,0.2,20,rubbermaid,5 gal bucket,40,10,4,18,128,1,,600
Arugula,Salad Greens,Brassica,Fresh Perishable,0,No,pounds,1,15,rubbermaid,Knife,20,,,,,,,15400
Asparagus,Specialty/Misc,Asparagaceae,Storage,1,No,pounds,0.5,40,rubbermaid,Knife,10,,,,,,,
Basil,Herbs,Lamiaceae,Fresh Perishable,0,No,bunches,0.25,30,rubbermaid,Snips,40,6,,,128,2,1,20000
Bean Snap,Specialty/Misc,Fabaceae,Storage,1,No,bunches,0.6,40,rubbermaid,Belly Bucket,30,,,,,,,85
Bean Snap TP,Specialty/Misc,Fabaceae,Storage,1,No,bunches,1,30,rubbermaid,Belly Bucket,15,2,,,50,2,,85
Beets Bulk Golden,Roots,Chenopod,Storage,10,Yes,pounds,1,50,grain bags,5 gal bucket,100,,,,,,,2000
Beets Bulk Red,Roots,Chenopod,Storage,10,Yes,pounds,1,50,grain bags,5 gal bucket,100,,,,,,,2250
Beets Golden,Roots,Chenopod,Fresh Holds,0,Yes,bunches,1,15,rubbermaid,,30,,,,,,,2000
Beets Red,Roots,Chenopod,Fresh Holds,0,Yes,bunches,1,15,rubbermaid,,30,,,,,,,2250
Bitter Melon,Specialty/Misc,Cucurbit,Storage,1,No,pounds,1,30,rubbermaid,Belly Bucket,30,3,,,50,1,,420
Bok Choy,Greens,Brassica,Fresh Perishable,0,No,eaches,1,45,rubbermaid,Knife,90,4,,,128,1,,8600
Tokyo Bekana,Greens,Brassica,Fresh Perishable,0,No,bunches,0.7,30,rubbermaid,Knife,30,4,,,128,1,,8600
Yu Choy,Greens,Brassica,Fresh Perishable,0,No,bunches,0.7,30,rubbermaid,Knife,30,4,,,128,1,,8600
Broccoli Raab,Greens,Brassica,Fresh Perishable,0,No,bunches,0.5,15,rubbermaid,Knife,30,5,,,128,1,,15500
Broccolini,Specialty/Misc,Brassica,Fresh Perishable,0,No,bunches,0.75,25,rubbermaid,Belly Bucket,20,5,,,72,1,,4900
Brussels Sprouts,Specialty/Misc,Brassica,Storage,4,Yes,stalk,1,150,bulk bin,Snips,60,5,,,72,1,,6500
Cabbage Chinese,Brassica,Brassica,Storage,4,No,heads,1,12,rubbermaid,Knife,50,5,,,72,1,,8500
Cabbage Chinese Red,Brassica,Brassica,Storage,4,No,heads,1,15,rubbermaid,Knife,50,5,,,72,1,,8500
Cabbage Cone,Brassica,Brassica,Storage,6,Yes,heads,1,12,rubbermaid,Knife,50,5,,,72,1,,5500
Cabbage Cone Storage,Brassica,Brassica,Storage,15,Yes,heads,1,150,bulk bin,Knife,50,5,,,72,1,,4250
Cabbage Flat,Brassica,Brassica,Storage,6,Yes,heads,1,12,rubbermaid,Knife,50,5,,,72,1,,5500
Cabbage Green Storage,Brassica,Brassica,Storage,18,Yes,heads,1,150,bulk bin,Knife,50,5,,,72,1,,7000
Cabbage Red,Brassica,Brassica,Storage,15,Yes,heads,1,12,rubbermaid,Knife,50,5,,,72,1,,6600
Cabbage Savoy,Brassica,Brassica,Storage,10,Yes,heads,1,8,rubbermaid,Knife,50,5,,,72,1,,10000
Carrot,Roots,Apiaceae,Fresh Holds,0,Yes,bunches,1,15,bulk bin,,25,,,,,,,22000
Carrot Bulk,Roots,Apiaceae,Storage,28,Yes,pounds,1,50,grain bags,5 gal bucket,100,,,,,,,15600
Cauliflower,Brassica,Brassica,Storage,1,Yes,heads,1,8,rubbermaid,Knife,40,5,,,72,1,,6000
Cauliflower Purple,Brassica,Brassica,Storage,1,Yes,heads,1,8,rubbermaid,Knife,40,5,,,72,1,,4600
Cauliflower Romanesco,Brassica,Brassica,Storage,1,Yes,heads,1,8,rubbermaid,Knife,40,5,,,72,1,,7800
Cauliflower Sprouting,Specialty/Misc,Brassica,Fresh Perishable,0,No,eaches,1,8,rubbermaid,Belly Bucket,40,5,,,72,1,,8000
Celery,Herbs,Apiaceae,Fresh Holds,0,Yes,bunches,1,15,rubbermaid,Knife,40,10,4,72,Speed,1,,1
Chard,Greens,Chenopod,Fresh Perishable,0,No,bunches,0.6,15,rubbermaid,Knife,30,6,,,72,1,1,1900
Cilantro,Herbs,Apiaceae,Fresh Perishable,0,No,bunches,0.5,60,rubbermaid,Knife,30,,,,,,,2200
Collards,Greens,Brassica,Storage,6,Yes,bunches,0.7,15,rubbermaid,Knife,30,5,,,72,1,,5325
Corn,Specialty/Misc,,Storage,1,No,eaches,1,40,rubbermaid,Knife,70,,,,,,,
Cucumber,Cucumbers,Cucurbit,Storage,1,No,pounds,1,35,rubbermaid,Snips,70,4,,,72,1,,1100
Cucumber Katrina,Cucumbers,Cucurbit,Storage,1,No,pounds,1,40,rubbermaid,Belly Bucket,40,4,,,72,1,,900
Cucumber Pickling,Cucumbers,Cucurbit,Storage,1,No,pounds,1,35,rubbermaid,Snips,70,4,,,72,1,,1300
Dandelion,Greens,Chicorium,Fresh Holds,0,Yes,bunches,0.6,30,rubbermaid,Knife,30,6,,,128,1,,1075
Dill,Herbs,Apiaceae,Fresh Perishable,0,No,bunches,0.5,60,rubbermaid,Knife,30,,,,,,,1350
Dry Beans,Beans/Peas,Fabaceae,Storage,36,Yes,na,1,,,,,,,,,,,145
Eggplant Italian Striped,Eggplant,Solanaceae,Storage,1,No,pounds,1,25,rubbermaid,Snips,60,8,4,32,Speed,1,,5800
Eggplant Italian Black,Eggplant,Solanaceae,Storage,1,No,pounds,1,25,rubbermaid,Snips,60,8,4,32,Speed,1,,7500
Eggplant Asian,Eggplant,Solanaceae,Storage,1,No,pounds,1,25,rubbermaid,Snips,60,8,4,32,Speed,1,,7500
Eggplant Mini,Eggplant,Solanaceae,Storage,1,No,pounds,1,40,rubbermaid,Snips,60,8,4,32,Speed,1,,8400
Escarole,Salad Greens,Aster,Fresh Perishable,0,No,heads,0.6,15,rubbermaid,Knife,45,5,,,128,1,,17700
Fennel,Specialty/Misc,Apiaceae,Storage,2,Yes,heads,1,18,green bin,Knife,54,6,,,128,2,1,5500
Frisee,Salad Greens,Apiaceae,Fresh Holds,0,Yes,pounds,1,15,rubbermaid,Knife,25,5,,,128,1,,13500
Garlic,Garlic,Allium,Storage,24,No,na,1,,,,,,,,,,,
Garlic Green,Garlic,Allium,Fresh Holds,0,Yes,bunches,0.6,35,rubbermaid,,35,,,,,,,
Garlic Scape,Garlic,Allium,Storage,4,No,bunches,0.6,50,rubbermaid,Belly Bucket,40,,,,,,,
Greens Mix Amaranth,Salad Greens,Amaranthaceae,Fresh Holds,0,Yes,pounds,1,15,rubbermaid,Knife,20,,,,,,,48900
Greens Mix Baby Kale,Salad Greens,Brassica,Fresh Perishable,0,No,pounds,1,15,rubbermaid,Knife,20,,,,,,,8000
Greens Mix Cheap Frills,Salad Greens,Brassica,Fresh Perishable,0,No,pounds,1,15,rubbermaid,Knife,20,,,,,,,16250
Greens Mix Mizuna,Salad Greens,Brassica,Fresh Perishable,0,No,pounds,1,15,rubbermaid,Knife,20,,,,,,,15350
Greens Mix Tokyo Bekana,Salad Greens,Brassica,Fresh Perishable,0,No,pounds,1,15,rubbermaid,Knife,20,,,,,,,8700
Greens Mix Rosie,Salad Greens,Brassica,Fresh Perishable,0,No,pounds,1,15,rubbermaid,Knife,20,,,,,,,13000
Kale Curly,Greens,Brassica,Fresh Holds,0,Yes,bunches,0.7,15,rubbermaid,,30,5,,,72,1,,6200
Kale Lacinato,Greens,Brassica,Storage,6,Yes,bunches,0.7,15,rubbermaid,,30,5,,,72,1,,9300
Kale Russian,Greens,Brassica,Fresh Holds,0,Yes,bunches,0.7,15,rubbermaid,,30,5,,,72,1,,9300
Kohlrabi,Roots,Brassica,Fresh Holds,0,Yes,bunches,1,20,rubbermaid,Snips,30,5,,,72,1,,6250
Kohlrabi Storage,Roots,Brassica,Storage,24,Yes,eaches,1,45,grain bags,Snips,100,5,,,72,1,,6250
Komatsuna,Greens,Brassica,Fresh Holds,0,Yes,bunches,0.6,12,rubbermaid,Knife,40,4,,,128,1,,9600
Lettuce Head,Salad Greens,Aster,Fresh Perishable,0,No,heads,1,15,rubbermaid,Knife,60,5,,,128,1,,1
Lettuce Mini Gem,Salad Greens,Aster,Fresh Perishable,0,No,heads,1,40,rubbermaid,Knife,60,5,,,128,1,,1
Lettuce Mix SN,Salad Greens,Aster,Fresh Perishable,0,No,pounds,1,15,rubbermaid,Knife,20,5,,,128,1,,1
Mustard,Greens,Brassica,Fresh Perishable,0,No,bunches,0.6,15,rubbermaid,,30,4,,,128,1,,18400
Okra,Specialty/Misc,Mallow,Fresh Perishable,0,No,pounds,1,30,rubbermaid,5 gal bucket,20,5,,,50,1,,550
Onion Spring,Roots,Allium,Fresh Holds,0,Yes,bunches,1,20,rubbermaid,,40,10,,,128,3,,7000
Parsley,Herbs,Apiaceae,Fresh Holds,0,Yes,bunches,0.5,60,rubbermaid,,30,8,,,128,3,1,15300
Pea Shelling,Specialty/Misc,Fabaceae,Storage,1,No,pounds,1,40,rubbermaid,5 gal bucket,40,0.5,,,Soak,,,100
Pea Snap,Specialty/Misc,Fabaceae,Storage,1,No,pounds,1,15,rubbermaid,Belly Bucket,20,0.5,,,Soak,,,100
Peas Snap PP,Specialty/Misc,Fabaceae,Storage,1,No,pounds,1,30,rubbermaid,Belly Bucket,30,4,,,264,3,,100
Pepper Carmen,Peppers,Solanaceae,Storage,3,No,pounds,1,25,rubbermaid,Snips,50,9,4,50,Speed,1,,4500
Pepper Hot,Peppers,Solanaceae,Storage,3,Yes,eaches,0.15,30,rubbermaid,5 gal bucket,100,9,4,50,Speed,1,,4500
Pepper Lunchbox,Peppers,Solanaceae,Storage,3,No,pounds,1,30,rubbermaid,5 gal bucket,100,9,4,50,Speed,1,,4500
Pepper Shishito,Peppers,Solanaceae,Storage,3,No,pounds,1,25,rubbermaid,5 gal bucket,40,9,4,50,Speed,1,,4500
Potato Blue,Roots,Solanaceae,Storage,30,Yes,pounds,1,50,grain bags,5 gal bucket,100,,,,,,,0.5
Potato Fingerling,Roots,Solanaceae,Storage,30,Yes,pounds,1,50,grain bags,5 gal bucket,100,,,,,,,0.5
Potato Red,Roots,Solanaceae,Storage,30,Yes,pounds,1,50,grain bags,5 gal bucket,100,,,,,,,0.5
Potato White,Roots,Solanaceae,Storage,30,Yes,pounds,1,50,grain bags,5 gal bucket,100,,,,,,,0.5
Potato Yellow,Roots,Solanaceae,Storage,30,Yes,pounds,1,50,grain bags,5 gal bucket,100,,,,,,,0.5
Puntarelle,Salad Greens,Chicorium,Storage,2,No,pounds,1,25,rubbermaid,Knife,40,6,,,128,1,,14000
Radicchio Forced,Salad Greens,Chicorium,Fresh Perishable,0,No,pounds,1,,bulk bin,,,6,,,128,1,,14000
Radicchio Pink,Salad Greens,Chicorium,Storage,6,Yes,heads,0.75,50,rubbermaid,,,6,,,128,1,,14000
Radicchio Round,Salad Greens,Chicorium,Storage,12,No,heads,1,50,rubbermaid,Knife,60,6,,,128,1,,1400
Radicchio Treviso,Salad Greens,Chicorium,Storage,10,No,heads,1,50,rubbermaid,Knife,60,6,,,128,1,,14000
Radicchio Variegated,Salad Greens,Chicorium,Storage,6,No,heads,1,50,rubbermaid,Knife,60,6,,,128,1,,14000
Radish Daikon Bulk,Roots,Brassica,Storage,24,Yes,pounds,1,50,grain bags,5 gal bucket,100,,,,,,,2300
Radish Daikon Mix,Roots,Brassica,Fresh Holds,0,Yes,bunches,1,15,rubbermaid,,30,,,,,,,2300
Radish French Breakfast,Roots,Brassica,Fresh Perishable,0,No,bunches,0.7,40,rubbermaid,,30,,,,,,,3000
Radish Purple,Roots,Brassica,Fresh Perishable,0,No,bunches,0.7,40,rubbermaid,,30,,,,,,,3500
Radish Red,Roots,Brassica,Fresh Perishable,0,No,bunches,0.7,40,rubbermaid,,30,,,,,,,3000
Scallion,Herbs,Allium,Fresh Holds,0,Yes,bunches,0.5,45,rubbermaid,hori hori ,40,7,,,264,4,,11700
Spinach,Greens,Chenopod,Fresh Perishable,0,No,pounds,1,9,rubbermaid,,15,5,,,264,4,1,1725
Sweet Potato Covington,Roots,Mallow,Storage,24,No,pounds,1,50,grain bags,Snips,75,,,,,,,Slips
Sweet Potato Murasaki,Roots,Mallow,Storage,24,No,pounds,1,50,grain bags,Snips,75,,,,,,,Slips
Tomato Cherry Mix,Tomatoes,Solanaceae,Storage,1,No,pints,0.7,30,breadtray,1 gal bucket,30,6,3,32,Speed,1,,15000
Tomato Cherry Sungold,Tomatoes,Solanaceae,Storage,1,No,pints,0.7,30,breadtray,1 gal bucket,30,6,3,32,Speed,1,,15000
Tomato Heirloom,Tomatoes,Solanaceae,Storage,1,No,pounds,1,15,breadtray,5 gal bucket,45,6,3,32,Speed,1,,15000
Tomato Red,Tomatoes,Solanaceae,Storage,1,No,pounds,1,15,breadtray,5 gal bucket,45,6,3,32,Speed,1,,15000
Tomato Sauce,Tomatoes,Solanaceae,Storage,1,Yes,pounds,1,15,breadtray,5 gal bucket,45,6,3,32,Speed,1,,15000
Turnip,Roots,Brassica,Fresh Perishable,0,No,bunches,0.7,20,rubbermaid,,30,,,,,,,11000
Turnip Bulk,Roots,Brassica,Storage,10,Yes,pounds,1,40,grain bags,5 gal bucket,100,,,,,,,17000
