Crop Name,Product Name,Planning Year,Sale Price,Sale Unit,Harvest Qty Per Sale Unit,SKU,Is Active
Artichoke,Artichoke - lb,2023,$9.00,lb,1,-lb,true
Arugula,Arugula - lb,2023,$8.00,lb,1,-lb,true
Arugula,Arugula - 5 lbs,2023,$37.50,5 lbs,5,-5 lb,true
Arugula,Arugula - 2/3 lb,2023,$11.00,2/3 lb,0.67,-2/3 lb,true
Arugula,Arugula - 1/3 lb,2023,$6.00,1/3 lb,0.33,-1/3 lb,true
Basil,Basil - bunch,2023,$3.00,bunch,1,-bu,true
Basil,Basil - 12 bu,2023,$27.00,12 bu,12,-12 bu,true
Bean Long,Bean Long - bunch,2023,$4.00,bunch,1,-bu,true
Bean Snap,Bean Snap - quart,2023,$4.00,quart,1,-qt,true
Bean Snap,Bean Snap - lb,2023,$5.00,lb,1,-lb,true
Bean Snap,Bean Snap - bunch,2023,$4.00,bunch,0.65,-bu,true
Beets Bulk Chioggia,Beets Bulk Chioggia - lb,2023,$3.00,lb,1,-lb,true
Beets Bulk Chioggia,Beets Bulk Chioggia - 10 lbs,2023,$18.00,10 lbs,10,-10 lbs,true
Beets Bulk Golden,Beets Bulk Golden - lb,2023,$3.00,lb,1,-lb,true
Beets Bulk Golden,Beets Bulk Golden - 10 lbs,2023,$18.00,10 lbs,10,-10 lbs,true
Beets Bulk Red,Beets Bulk Red - lb,2023,$3.00,lb,1,-lb,true
Beets Bulk Red,Beets Bulk Red - 10 lbs,2023,$15.00,10 lbs,10,-10 lbs,true
Beets Chioggia,Beets Chioggia - bunch,2023,$4.00,bunch,1,-bu,true
Beets Chioggia,Beets Chioggia - 12 bu,2023,$30.00,12 bu,12,-12 bu,true
Beets Golden,Beets Golden - bunch,2023,$4.00,bunch,1,-bu,true
Beets Golden,Beets Golden - 12 bu,2023,$30.00,12 bu,12,-12 bu,true
Beets Golden P,Beets Golden P - bunch,2023,$4.00,bunch,1,-bu,true
Beets Golden P,Beets Golden P - 12 bu,2023,$27.00,12 bu,12,-12 bu,true
Beets Red,Beets Red - bunch,2023,$4.00,bunch,1,-bu,true
Beets Red,Beets Red - 12 bu,2023,$30.00,12 bu,12,-12 bu,true
Beets Red P,Beets Red P - bunch,2023,$4.00,bunch,1,-bu,true
Beets Red P,Beets Red P - 12 bu,2023,$27.00,12 bu,12,-12 bu,true
Bok Choy,Bok Choy - each,2023,$2.00,each,1,-ea,true
Bok Choy Small,Bok Choy Small - lb,2023,$6.00,lb,1,-lb,true
Bok Choy Small,Bok Choy Small - 15 lbs,2023,$45.00,15 lbs,15,-15 lb,true
Braising Mix,Braising Mix - 1/2 lb,2023,$4.00,1/2 lb,0.5,-1/2 lb,true
Braising Mix,Braising Mix - 1 lb,2023,$7.00,1 lb,1,-1 lb,true
Broccoli,Broccoli - lb,2023,$3.00,lb,1,-lb,true
Broccoli Raab,Broccoli Raab - bunch,2023,$4.00,bunch,1,-bu,true
Broccolini,Broccolini - bunch,2023,$5.00,bunch,1,-bu,true
Brussels Sprouts,Brussels Sprouts - stalk,2023,$7.00,stalk,1,-stalk,true
Cabbage,Cabbage - lb,2023,$2.00,lb,0.5,-lb,true
Cabbage,Cabbage - 20 lbs,2023,$25.00,20 lbs,10,-20 lb,true
Cabbage Chinese,Cabbage Chinese - lb,2023,$2.00,lb,0.5,-lb,true
Cabbage Chinese,Cabbage Chinese - 10 lbs,2023,$12.50,10 lbs,5,-10 lbs,true
Cabbage Storage,Cabbage Storage - lb,2023,$2.00,lb,0.25,-lb,true
