Mix Product Name,Mix Crop Name,Component Source Type,Component Crop Name,Component Quantity,Component Unit
Braising Mix,,crop,Greens Mix Cheap Frills,0.16,each
Braising Mix,,crop,Escarole,0.16,each
Braising Mix,,crop,Chard,0.16,each
Braising Mix,,crop,Kale Lacinato,0.16,each
Braising Mix,,crop,Collards,0.16,each
Braising Mix,,crop,Brussels Sprouts,0.16,each
Salad Mix,,crop,Lettuce Mix SN,0.2,each
Salad Mix,,crop,Greens Mix Cheap Frills,0.1,each
Salad Mix,,crop,Radicchio Round,0.05,each
Salad Mix,,crop,Radicchio Variegated,0.06,each
Salad Mix,,crop,Radicchio Pink,0.05,each
Salad Mix,,crop,Greens Mix Baby Kale,0.075,each
Salad Mix,,crop,Greens Mix Mizuna,0.075,each
Salad Mix,,crop,Greens Mix Tokyo Bekana,0.075,each
Salad Mix,,crop,Greens Mix Amaranth,0.06,each
Salad Mix,,crop,Lettuce Mini Gem,0.075,each
Salad Mix,,crop,Frisee,0.08,each
Salad Mix,,crop,Greens Mix Rosie,0.05,each
Salad Mix,,crop,Greens Mix Purslane,0.05,each
Salad Mix,,crop,Arugula,0,each
Braising Mix,,crop,Kale Curly,,each
Braising Mix,,crop,Radicchio Treviso,,each
Braising Mix,,crop,Cabbage Chinese Red,,each
