Crop,Variety,Season Year,Planned Quantity,Unit,Notes
Arugula,Astro,2026,811200,1/4 lb,
Arugula Wild,Bellezia,2026,134784,,
Basil,Prospera DMR CG1,2026,5990,ea,
Asparagus,Jersey Supreme,2026,0,,
Asparagus,Millenium,2026,0,,
Bean Snap TP,Nor'easter,2026,4160,ea,
Basil,Prospera DMR PL4,2026,0,,
Basil,Prospera® Italian Large Leaf DMR (ILL2),2026,0,,
Beets Bulk Golden,Boldor,2026,37440,ea,
Beets Bulk Golden,Yellow Sunrise,2026,37440,ea,
Beets Bulk Red,Boro F1,2026,46800,ea,
Beets Golden,Yellow Sunrise,2026,37440,ea,
Beets Golden,Boldor,2026,0,,
Beets Red,Red Ace F1,2026,18720,ea,
Beets Red,Boro F1,2026,0,,
Bok Choy,Bopak,2026,4659,ea,
Bitter Melon,Green Skin,2026,0,,
Bok Choy,Li Ren Choi,2026,20134,ea,
Bok Choy,Choko,2026,0,,
Broccolini,BC1611,2026,2293,ea,
Bok Choy,Little Shanghai,2026,0,ea,
Broccoli Raab,Novantina,2026,0,,
Broccoli Raab,Quarantina,2026,0,,
Broccolini,Bella Verde,2026,3931,ea,
Broccolini,Burgundy,2026,1310,ea,
Broccolini,Happy Rich,2026,983,ea,
Cabbage Chinese,Bilko,2026,0,,
Brussels Sprouts,Dagan,2026,749,ea,
Buckwheat,Standard,2026,1642680,,
Cabbage Chinese,Scarossa,2026,0,,
Cabbage Chinese,Merlot,2026,374,ea,5/24
Cabbage Chinese,Minuet,2026,1357,ea,1/2 10/23
Cabbage Flat,Deadon,2026,0,,
Cabbage Flat,Saku Saku,2026,0,,
Cabbage Cone,Caraflex,2026,1310,ea,
Cabbage Cone Storage,Murdoc,2026,655,g,
Cabbage Flat,Tendersweet,2026,655,ea,2/24
Cabbage Green Storage,Promise,2026,655,ea,
Cabbage Red,Omero,2026,1966,ea,
Cabbage Red,Pink Cabbage Hybrid,2026,328,,
Cabbage Red,Ruby Perfection,2026,655,ea,1/2 3/24
Carrot,Naval F1,2026,0,,
Cabbage Savoy,Alcosa,2026,655,ea,11/23
Cabbage Savoy,Famosa,2026,655,ea,5/24
Carrot Bulk,Bolero,2026,240240,ea,
Cauliflower,Denali,2026,983,ea,
Cauliflower,Lavender,2026,983,ea,
Cauliflower,Puntaverde,2026,983,ea,
Cauliflower,Skywalker,2026,655,ea,
Cauliflower Sprouting,Fioretto 70,2026,1310,ea,
Cauliflower Sprouting,Murasaki Fioretto,2026,655,ea,
Cauliflower Sprouting,Song,2026,1310,,
Celery,Merengo,2026,6175,ea,
Chard,Bright Lights,2026,8986,ea,
Cilantro,Cruiser,2026,539500,lb,
Collards,Flash,2026,2621,,
Cucumber,Corinto,2026,421,ea,
Cucumber Katrina,Katrina,2026,421,ea,
Dill,Thalia,2026,0,lb,
Eggplant Asian,Asian Delight,2026,0,,
Eggplant Asian,Ping Tung,2026,0,oz,
Eggplant Asian,Shinkasen,2026,0,ea,
Eggplant Italian Black,Barbarella,2026,0,,
Cucumber Pickling,Excelsior,2026,281,ea,
Dandelion,Clio,2026,4826,ea,
Eggplant Italian Black,Gaudi,2026,494,ea,
Escarole,Bubikof,2026,0,,
Eggplant Italian Striped,Annina,2026,988,ea,
Eggplant Mini,Fairytale,2026,988,ea,
Escarole,Eliance,2026,2163,ea,
Escarole,Eros,2026,499,ea,
Garlic,TBD,2026,0,,
Garlic,Brown Tempest,2026,0,,
Fennel,Orazio,2026,7987,ea,
Frisee,Curlesi,2026,2829,ea,10/24 pelleted
Garlic,Inchillium Red,2026,0,,
Garlic,Italian Red,2026,0,,
Garlic,German White,2026,0,,
Garlic,Hardneck - Em,2026,0,,
Garlic,Vietnamese Red,2026,0,,
Garlic Green,MISC,2026,0,,
Garlic Scape,TBD,2026,0,,
Greens Mix Amaranth,Polish,2026,0,,
Garlic,Music,2026,0,,
Garlic,Softneck - Em,2026,0,,
Greens Mix Mizuna,Central Red,2026,0,,
Greens Mix Purslane,Golden ,2026,0,,
Greens Mix Baby Kale,Red Russian Kale,2026,148720,lb,
Greens Mix Tokyo Bekana,Tokyo Bekana,2026,0,lb,
Greens Mix Cheap Frills,Cheap Frills,2026,1242800,lb,
Kale Lacinato,Black Magic,2026,0,,
Greens Mix Rosie,Rosie,2026,67600,lb,
Kale Curly,Winterbor,2026,3931,ea,
Kale Lacinato,Ebony,2026,13993,ea,
Kale Russian,Siberian,2026,1685,,
Komatsuna,Summer Fest,2026,0,,
Kohlrabi,Kolibri,2026,655,ea,
Kohlrabi Storage,Kossak,2026,1310,ea,
Lettuce Head,Alkindus,2026,1664,ea,11/24 Pe
Lettuce Head,Fusion,2026,998,ea,
Lettuce Head,Monte Carlo,2026,0,ea,
Lettuce Head,Marciano,2026,2995,ea,
Lettuce Head,Pomegranate Crunch,2026,0,ea,
Lettuce Head,Milagro,2026,2995,ea,
Lettuce Head,Queen of Hearts,2026,0,oz,
Lettuce Head,Reno,2026,0,ea,
Lettuce Head,Muir,2026,998,ea,
Lettuce Head,Truchas,2026,0,ea,
Lettuce Head,Purple Fusion,2026,998,ea,
Lettuce Mini Gem,Newham,2026,0,,
Lettuce Head,Shirane Sky,2026,2995,ea,
Lettuce Mini Gem,Gatsbi,2026,2330,ea,
Lettuce Mini Gem,Rosaine,2026,2662,ea,11/24 Pe
