Crop,Variety,Supplier,Catalog Number,Source URL,Notes
Arugula,Astro,Johnny's Seeds,,,
Arugula Wild,Bellezia,Johnny's Seeds,,,
Basil,Prospera DMR CG1,Johnny's Seeds,,,
Asparagus,Jersey Supreme,Johnny's Seeds,,,
Asparagus,Millenium,Johnny's Seeds,,,
Bean Snap TP,Nor'easter,Johnny's Seeds,,,
Basil,Prospera DMR PL4,Johnny's Seeds,,,
Basil,Prospera® Italian Large Leaf DMR (ILL2),Johnny's Seeds,,,
Beets Bulk Golden,Boldor,Johnny's Seeds,,,
Beets Bulk Golden,Yellow Sunrise,Osborne Seed Company,,,
Beets Bulk Red,Boro F1,Johnny's Seeds,,,
Beets Golden,Yellow Sunrise,Osborne Seed Company,,,
Beets Golden,Boldor,Johnny's Seeds,,,
Beets Red,Red Ace F1,Johnny's Seeds,,,
Beets Red,Boro F1,Johnny's Seeds,,,
Bok Choy,Bopak,Johnny's Seeds,,,
Bitter Melon,Green Skin,Hudson Valley Seed Co,,,
Bok Choy,Li Ren Choi,Johnny's Seeds,,,
Bok Choy,Choko,Osborne Seed Company,,,
Broccolini,BC1611,Johnny's Seeds,,,
Bok Choy,Little Shanghai,Johnny's Seeds,,,
Broccoli Raab,Novantina,Salerno Seeds,,,
Broccoli Raab,Quarantina,Salerno Seeds,,,
Broccolini,Bella Verde,Johnny's Seeds,,,
Broccolini,Burgundy,Johnny's Seeds,,,
Broccolini,Happy Rich,Johnny's Seeds,,,
Cabbage Chinese,Bilko,Johnny's Seeds,,,
Brussels Sprouts,Dagan,Johnny's Seeds,,,
Buckwheat,Standard,TBD,,,
Cabbage Chinese,Scarossa,Osborne Seed Company,,,
Cabbage Chinese,Merlot,Johnny's Seeds,,,5/24
Cabbage Chinese,Minuet,Johnny's Seeds,,,1/2 10/23
Cabbage Flat,Deadon,Johnny's Seeds,,,
Cabbage Flat,Saku Saku,Oishii Nippon,,,
Cabbage Cone,Caraflex,Johnny's Seeds,,,
Cabbage Cone Storage,Murdoc,Fedco Seeds,,,
Cabbage Flat,Tendersweet,Johnny's Seeds,,,2/24
Cabbage Green Storage,Promise,Johnny's Seeds,,,
Cabbage Red,Omero,Johnny's Seeds,,,
Cabbage Red,Pink Cabbage Hybrid,Trial / Cornell,,,
Cabbage Red,Ruby Perfection,Johnny's Seeds,,,1/2 3/24
Carrot,Naval F1,Johnny's Seeds,,,
Cabbage Savoy,Alcosa,Johnny's Seeds,,,11/23
Cabbage Savoy,Famosa,Johnny's Seeds,,,5/24
Carrot Bulk,Bolero,Johnny's Seeds,,,
Cauliflower,Denali,Johnny's Seeds,,,
Cauliflower,Lavender,Johnny's Seeds,,,
Cauliflower,Puntaverde,Johnny's Seeds,,,
Cauliflower,Skywalker,Johnny's Seeds,,,
Cauliflower Sprouting,Fioretto 70,Johnny's Seeds,,,
Cauliflower Sprouting,Murasaki Fioretto,Johnny's Seeds,,,
Cauliflower Sprouting,Song,Johnny's Seeds,,,
Celery,Merengo,High Mowing Seeds,,,
Chard,Bright Lights,Johnny's Seeds,,,
Cilantro,Cruiser,Johnny's Seeds,,,
Collards,Flash,Johnny's Seeds,,,
Cucumber,Corinto,Johnny's Seeds,,,
Cucumber Katrina,Katrina,Johnny's Seeds,,,
Dill,Thalia,Johnny's Seeds,,,
Eggplant Asian,Asian Delight,Johnny's Seeds,,,
Eggplant Asian,Ping Tung,High Mowing Seeds,,,
Eggplant Asian,Shinkasen,Johnny's Seeds,,,
Eggplant Italian Black,Barbarella,Johnny's Seeds,,,
Cucumber Pickling,Excelsior,Johnny's Seeds,,,
Dandelion,Clio,Johnny's Seeds,,,
Eggplant Italian Black,Gaudi,Johnny's Seeds,,,
Escarole,Bubikof,Wild Garden Seed,,,
Eggplant Italian Striped,Annina,Johnny's Seeds,,,
