Channel,Product,Harvest Year,Harvest Week,Qty,Value
Markets,Arugula - 1/3 lb,2026,1,14,$98.00
Markets,Beets Bulk Golden - lb,2026,1,25,$87.50
Markets,Beets Bulk Red - lb,2026,1,25,$87.50
Markets,Bok Choy - ea,2026,1,29,$72.50
Markets,Bok Choy - ea,2026,1,20,$50.00
Markets,Braising Mix - 1 lb,2026,1,36,$324.00
Markets,Cabbage Chinese - lb,2026,1,22.5,$90.00
Markets,Cabbage Cone Storage - lb,2026,1,45.1,$112.75
Markets,Cabbage Green Storage - lb,2026,1,40,$100.00
Markets,Cabbage Green Storage - lb,2026,1,19.3,$48.25
Markets,Cabbage Red - lb,2026,1,27.8,$69.50
Markets,Cabbage Savoy - lb,2026,1,11.4,$28.50
Markets,Carrot Bulk - lb,2026,1,148,$518.00
Markets,Chard - bu,2026,1,12,$60.00
Markets,Collards - bu,2026,1,20,$100.00
Markets,Kale Curly - bu,2026,1,15,$75.00
Markets,Kale Lacinato - bu,2026,1,90,$450.00
Markets,Kale Russian - bu,2026,1,20,$100.00
Markets,Kohlrabi Storage - ea,2026,1,21,$84.00
Markets,Mustard - bu,2026,1,5,$25.00
Markets,Potato Red - lb,2026,1,33,$115.50
Markets,Potato White - lb,2026,1,70,$245.00
Markets,Potato White - lb,2026,1,39,$136.50
Markets,Potato Yellow - lb,2026,1,62,$217.00
Markets,Radicchio Round - lb,2026,1,27,$243.00
Markets,Radish Daikon Bulk - lb,2026,1,30,$105.00
Markets,Salad Mix - 1/3 lb,2026,1,23,$161.00
Markets,Salad Mix - 2/3 lb ,2026,1,35,$490.00
Markets,Spinach - 1 lb,2026,1,14,$196.00
Markets,Spinach - 1/2 lb,2026,1,8,$56.00
Markets,Sweet Potato Covington - lb,2026,1,25,$87.50
Markets,Sweet Potato Covington - lb,2026,1,35,$122.50
Markets,Sweet Potato Murasaki - lb,2026,1,42,$147.00
Markets,Winter Squash Butternut - lb,2026,1,53,$159.00
Markets,Winter Squash Futsu - lb,2026,1,13.9,$41.70
Markets,Winter Squash Koginut - lb,2026,1,33.3,$99.90
Markets,Beets Bulk Golden - lb,2026,2,25,$87.50
Markets,Beets Bulk Red - lb,2026,2,25,$87.50
Markets,Bok Choy - ea,2026,2,97,$242.50
Markets,Bok Choy - ea,2026,2,18,$45.00
Markets,Braising Mix - 1 lb,2026,2,20,$180.00
Markets,Cabbage Chinese - lb,2026,2,20,$80.00
Markets,Cabbage Cone Storage - lb,2026,2,32.1,$80.25
Orders,Cabbage Cone Storage - lb,2026,2,1,$1.75
Markets,Cabbage Green Storage - lb,2026,2,25,$62.50
Markets,Cabbage Green Storage - lb,2026,2,15.6,$39.00
Markets,Cabbage Red - lb,2026,2,20,$50.00
Orders,Cabbage Red - lb,2026,2,1,$1.75
Markets,Cabbage Savoy - lb,2026,2,19.3,$48.25
Orders,Cabbage Savoy - lb,2026,2,1,$1.75
Markets,Carrot Bulk - lb,2026,2,130,$455.00
Markets,Chard - bu,2026,2,16,$80.00
Markets,Kale Curly - bu,2026,2,40,$200.00
Orders,Kale Curly - bu,2026,2,1,$3.50
Markets,Kale Lacinato - bu,2026,2,55,$275.00
Orders,Kale Lacinato - bu,2026,2,5,$17.50
Markets,Kale Russian - bu,2026,2,20,$100.00
Markets,Kohlrabi Storage - ea,2026,2,25,$100.00
Markets,Potato Blue - lb,2026,2,18,$63.00
Markets,Potato Red - lb,2026,2,15.3,$53.55
Markets,Potato White - lb,2026,2,50,$175.00
Markets,Potato White - lb,2026,2,19.2,$67.20
Markets,Potato Yellow - lb,2026,2,36,$126.00
Markets,Radicchio Round - lb,2026,2,11.3,$101.70
Markets,Radish Daikon Bulk - lb,2026,2,30.5,$106.75
Markets,Salad Mix - 1/3 lb,2026,2,26,$182.00
Markets,Salad Mix - 2/3 lb ,2026,2,25,$350.00
Markets,Spinach - 1 lb,2026,2,8,$112.00
Markets,Spinach - 1/2 lb,2026,2,15,$105.00
Markets,Sweet Potato Covington - lb,2026,2,25,$87.50
Markets,Sweet Potato Covington - lb,2026,2,26.6,$93.10
Markets,Sweet Potato Murasaki - lb,2026,2,17.9,$62.65
Markets,Winter Squash Butternut - lb,2026,2,58.8,$176.40
Markets,Winter Squash Futsu - lb,2026,2,4.2,$12.60
Markets,Winter Squash Koginut - lb,2026,2,47.2,$141.60
Markets,Arugula - 1/3 lb,2026,3,13,$91.00
Markets,Beets Bulk Golden - lb,2026,3,25,$87.50
Markets,Beets Bulk Red - lb,2026,3,25,$87.50
Markets,Bok Choy - ea,2026,3,75,$187.50
Markets,Braising Mix - 1 lb,2026,3,30,$270.00
Markets,Cabbage Chinese - lb,2026,3,17.3,$69.20
Markets,Cabbage Cone Storage - lb,2026,3,35.5,$88.75
Markets,Cabbage Green Storage - lb,2026,3,40,$100.00
Markets,Cabbage Green Storage - lb,2026,3,13.7,$34.25
Markets,Cabbage Red - lb,2026,3,17,$42.50
Markets,Cabbage Savoy - lb,2026,3,18.8,$47.00
Orders,Cabbage Savoy - lb,2026,3,2,$3.50
Markets,Carrot Bulk - lb,2026,3,109,$381.50
Orders,Carrot Bulk - lb,2026,3,50,$122.50
Markets,Chard - bu,2026,3,11,$55.00
Markets,Kale Curly - bu,2026,3,6,$30.00
