Planting ID,Planned Date,Planned Quantity,Planned Units,Actual Date,Actual Quantity,Actual Units,Actual Bins,Actual Bin Type,Actual Hours,Actual Workers,Quality Grade,Notes
P001,2023-07-29,150,pounds,2023-07-31,145,pounds,7,Tote,4.5,2,prime,Great looking fruit
P001,2023-08-05,150,pounds,2023-08-07,152,pounds,7,Tote,4.0,2,prime,
P001,2023-08-12,150,pounds,2023-08-14,148,pounds,7,Tote,4.25,2,prime,
P001,2023-08-19,150,pounds,2023-08-21,155,pounds,8,Tote,4.5,2,prime,
P001,2023-08-26,150,pounds,2023-08-28,140,pounds,7,Tote,4.0,2,mixed,Some blemishes
P001,2023-09-02,150,pounds,2023-09-04,138,pounds,7,Tote,3.75,2,seconds,
P001,2023-09-09,150,pounds,2023-09-11,142,pounds,7,Tote,4.0,2,seconds,
P001,2023-09-16,150,pounds,2023-09-18,135,pounds,6,Tote,3.5,2,seconds,
P001,2023-09-23,150,pounds,2023-09-25,128,pounds,6,Tote,3.25,1,seconds,
P001,2023-09-30,150,pounds,2023-10-02,112,pounds,5,Tote,2.75,1,seconds,Late season decline
P001,2023-10-07,150,pounds,2023-10-09,98,pounds,5,Tote,2.5,1,seconds,
P001,2023-10-14,150,pounds,2023-10-16,85,pounds,4,Tote,2.0,1,seconds,
P001,2023-10-21,150,pounds,2023-10-23,65,pounds,3,Tote,1.5,1,seconds,
P001,2023-10-28,150,pounds,2023-10-30,48,pounds,2,Tote,1.0,1,seconds,
P001,2023-11-04,150,pounds,2023-11-06,32,pounds,2,Tote,0.75,1,seconds,
P001,2023-11-11,150,pounds,2023-11-08,18,pounds,1,Tote,0.5,1,seconds,End of season
P002,2023-08-15,150,pounds,2023-08-18,148,pounds,7,Tote,4.0,2,prime,Good mid-season crop
P002,2023-08-22,150,pounds,2023-08-25,150,pounds,7,Tote,4.25,2,prime,
P002,2023-08-29,150,pounds,2023-09-01,145,pounds,7,Tote,4.0,2,prime,
P002,2023-09-05,150,pounds,2023-09-08,142,pounds,7,Tote,3.75,2,mixed,
P002,2023-09-12,150,pounds,2023-09-15,138,pounds,7,Tote,3.5,2,seconds,
P002,2023-09-19,150,pounds,2023-09-22,130,pounds,6,Tote,3.25,2,seconds,
P002,2023-09-26,150,pounds,2023-09-29,120,pounds,6,Tote,3.0,1,seconds,
P002,2023-10-03,150,pounds,2023-10-06,108,pounds,5,Tote,2.75,1,seconds,
P002,2023-10-10,150,pounds,2023-10-13,95,pounds,5,Tote,2.5,1,seconds,
P002,2023-10-17,150,pounds,2023-10-20,78,pounds,4,Tote,2.0,1,seconds,
P002,2023-10-24,150,pounds,2023-10-27,58,pounds,3,Tote,1.5,1,seconds,
P002,2023-10-31,150,pounds,2023-11-03,35,pounds,2,Tote,1.0,1,seconds,
P002,2023-11-07,150,pounds,2023-11-10,22,pounds,1,Tote,0.5,1,seconds,
P002,2023-11-14,150,pounds,2023-11-18,12,pounds,1,Tote,0.25,1,seconds,Late succession
P002,2023-11-21,150,pounds,2023-11-20,8,pounds,0,,,0.25,1,seconds,Last picking
P003,2023-06-19,50,pounds,2023-06-21,48,pounds,2,Flat,1.5,2,prime,Cherry tomato tunnel
P003,2023-06-26,50,pounds,2023-06-28,52,pounds,2,Flat,1.5,2,prime,
P003,2023-07-03,50,pounds,2023-07-05,50,pounds,2,Flat,1.5,2,prime,
P003,2023-07-10,50,pounds,2023-07-12,54,pounds,2,Flat,1.75,2,prime,
P003,2023-07-17,50,pounds,2023-07-19,56,pounds,2,Flat,1.75,2,prime,High tunnel beneficial
P003,2023-07-24,50,pounds,2023-07-26,58,pounds,2,Flat,2.0,2,prime,
P003,2023-07-31,50,pounds,2023-08-02,60,pounds,2,Flat,2.0,2,prime,Peak production
P003,2023-08-07,50,pounds,2023-08-09,58,pounds,2,Flat,1.75,2,prime,
P003,2023-08-14,50,pounds,2023-08-16,56,pounds,2,Flat,1.75,2,prime,
P003,2023-08-21,50,pounds,2023-08-23,52,pounds,2,Flat,1.5,2,mixed,
P003,2023-08-28,50,pounds,2023-08-30,48,pounds,2,Flat,1.5,2,seconds,
P003,2023-09-04,50,pounds,2023-09-06,42,pounds,2,Flat,1.25,1,seconds,
P003,2023-09-11,50,pounds,2023-09-13,35,pounds,1,Flat,1.0,1,seconds,
P003,2023-09-18,50,pounds,2023-09-25,28,pounds,1,Flat,0.75,1,seconds,Extended season
P004,2023-05-09,100,heads,2023-05-10,102,heads,3,Clamshell,2.0,2,prime,Spring crop excellent
P004,2023-05-16,100,heads,2023-05-18,98,heads,3,Clamshell,2.0,2,prime,
P004,2023-05-23,100,heads,2023-05-25,105,heads,3,Clamshell,2.0,2,prime,
P004,2023-05-30,100,heads,2023-06-01,95,heads,3,Clamshell,2.0,2,seconds,
P004,2023-06-06,100,heads,2023-06-08,88,heads,2,Clamshell,1.75,2,seconds,Bolting begins
P004,2023-06-13,100,heads,2023-06-15,72,heads,2,Clamshell,1.5,2,seconds,Hot weather impact
P005,2023-07-31,100,heads,2023-08-02,98,heads,3,Clamshell,2.0,2,prime,Summer succession
P005,2023-08-07,100,heads,2023-08-09,100,heads,3,Clamshell,2.0,2,prime,
P005,2023-08-14,100,heads,2023-08-16,102,heads,3,Clamshell,2.0,2,prime,
P005,2023-08-21,100,heads,2023-08-23,95,heads,3,Clamshell,2.0,2,seconds,
P005,2023-08-28,100,heads,2023-08-30,88,heads,2,Clamshell,1.75,2,seconds,
P005,2023-09-04,100,heads,2023-09-06,82,heads,2,Clamshell,1.5,2,seconds,
P006,2023-04-10,50,pounds,2023-04-12,48,pounds,1,Crate,1.0,2,prime,Early spinach
P006,2023-04-17,50,pounds,2023-04-19,52,pounds,2,Crate,1.0,2,prime,
P006,2023-04-24,50,pounds,2023-04-26,50,pounds,2,Crate,1.0,2,prime,
P006,2023-05-01,50,pounds,2023-05-03,45,pounds,1,Crate,0.75,1,seconds,Bolting
P006,2023-05-08,50,pounds,2023-05-10,38,pounds,1,Crate,0.75,1,seconds,
P006,2023-05-15,50,pounds,2023-05-17,32,pounds,1,Crate,0.5,1,seconds,End early season
P007,2023-06-20,80,each,2023-06-25,78,each,1,Tote,3.0,2,prime,Greenhouse peppers excellent
P007,2023-06-27,80,each,2023-07-02,82,each,1,Tote,3.0,2,prime,
P007,2023-07-04,80,each,2023-07-09,85,each,1,Tote,3.0,2,prime,
P007,2023-07-11,80,each,2023-07-16,88,each,1,Tote,3.25,2,prime,Peak production
P007,2023-07-18,80,each,2023-07-23,86,each,1,Tote,3.0,2,prime,
P007,2023-07-25,80,each,2023-07-30,84,each,1,Tote,3.0,2,prime,
P007,2023-08-01,80,each,2023-08-06,82,each,1,Tote,2.75,2,prime,
P007,2023-08-08,80,each,2023-08-13,78,each,1,Tote,2.75,2,mixed,
P007,2023-08-15,80,each,2023-08-20,72,each,1,Tote,2.5,1,mixed,
P007,2023-08-22,80,each,2023-08-27,65,each,1,Tote,2.25,1,seconds,
P007,2023-08-29,80,each,2023-09-03,58,each,1,Tote,2.0,1,seconds,
P007,2023-09-05,80,each,2023-09-10,50,each,1,Tote,1.75,1,seconds,
P008,2023-06-24,100,pounds,2023-06-26,102,pounds,5,Bin,3.0,2,prime,Root development good
P008,2023-07-01,100,pounds,2023-07-03,98,pounds,5,Bin,2.75,2,prime,
P008,2023-07-08,100,pounds,2023-07-10,100,pounds,5,Bin,2.75,2,prime,
P008,2023-07-15,100,pounds,2023-07-17,95,pounds,5,Bin,2.5,2,prime,
P008,2023-07-22,100,pounds,2023-07-24,92,pounds,4,Bin,2.5,2,mixed,
P008,2023-07-29,100,pounds,2023-07-31,88,pounds,4,Bin,2.25,1,mixed,
P008,2023-08-05,100,pounds,2023-08-07,82,pounds,4,Bin,2.0,1,seconds,
P008,2023-08-12,100,pounds,2023-08-14,75,pounds,3,Bin,1.75,1,seconds,
P009,2023-07-01,80,each,2023-07-03,78,each,2,Flat,2.5,2,prime,Tunnel cucumbers
P009,2023-07-08,80,each,2023-07-10,76,each,2,Flat,2.5,2,prime,
P009,2023-07-15,80,each,2023-07-17,80,each,2,Flat,2.75,2,prime,
P009,2023-07-22,80,each,2023-07-24,82,each,2,Flat,2.75,2,prime,
P009,2023-07-29,80,each,2023-07-31,75,each,2,Flat,2.5,2,mixed,
P009,2023-08-05,80,each,2023-08-07,68,each,2,Flat,2.25,1,seconds,
P009,2023-08-12,80,each,2023-08-15,60,each,1,Flat,1.75,1,seconds,Lower yield late season
P010,2023-06-04,5,pounds,2023-06-06,5.2,pounds,0,,,1.0,1,prime,Basil continuous harvest
P010,2023-06-11,5,pounds,2023-06-13,5.5,pounds,0,,,1.0,1,prime,
P010,2023-06-18,5,pounds,2023-06-20,5.8,pounds,0,,,1.0,1,prime,
P010,2023-06-25,5,pounds,2023-06-27,6.0,pounds,0,,,1.0,1,prime,
P010,2023-07-02,5,pounds,2023-07-04,6.2,pounds,0,,,1.0,1,prime,
P010,2023-07-09,5,pounds,2023-07-11,6.0,pounds,0,,,1.0,1,prime,
P010,2023-07-16,5,pounds,2023-07-18,5.8,pounds,0,,,1.0,1,prime,
P010,2023-07-23,5,pounds,2023-07-25,5.5,pounds,0,,,0.75,1,prime,
P010,2023-07-30,5,pounds,2023-08-01,5.2,pounds,0,,,0.75,1,mixed,
P010,2023-08-06,5,pounds,2023-08-08,4.8,pounds,0,,,0.75,1,mixed,
P010,2023-08-13,5,pounds,2023-08-15,4.5,pounds,0,,,0.75,1,seconds,
P010,2023-08-20,5,pounds,2023-08-22,4.0,pounds,0,,,0.5,1,seconds,
P010,2023-08-27,5,pounds,2023-08-29,3.8,pounds,0,,,0.5,1,seconds,
P010,2023-09-03,5,pounds,2023-09-05,3.5,pounds,0,,,0.5,1,seconds,
P010,2023-09-10,5,pounds,2023-09-12,3.2,pounds,0,,,0.5,1,seconds,
P010,2023-09-17,5,pounds,2023-09-19,2.8,pounds,0,,,0.25,1,seconds,Late season decline
