Crop Name,Event Date,Event Type,Quantity,Storage Location,Expiry Date,Notes
Tomato Beefsteak,2023-07-31,harvest_in,145,Cold Room 1,2023-08-14,P001 week 1
Tomato Beefsteak,2023-08-07,harvest_in,152,Cold Room 1,2023-08-21,P001 week 2
Tomato Beefsteak,2023-08-14,harvest_in,148,Cold Room 1,2023-08-28,P001 week 3
Tomato Beefsteak,2023-08-21,harvest_in,155,Cold Room 1,2023-09-04,P001 week 4
Tomato Beefsteak,2023-08-28,sale_out,-150,Cold Room 1,,Wednesday market
Tomato Beefsteak,2023-08-28,harvest_in,140,Cold Room 1,2023-09-11,P001 week 5
Tomato Beefsteak,2023-09-04,sale_out,-140,Cold Room 1,,Saturday farmers market
Tomato Beefsteak,2023-09-04,harvest_in,138,Cold Room 1,2023-09-18,P001 week 6
Tomato Beefsteak,2023-09-11,sale_out,-150,Cold Room 1,,Wednesday market
Tomato Beefsteak,2023-09-11,harvest_in,142,Cold Room 1,2023-09-25,P001 week 7
Tomato Beefsteak,2023-09-18,sale_out,-140,Cold Room 1,,Saturday market
Tomato Beefsteak,2023-09-18,harvest_in,135,Cold Room 1,2023-10-02,P001 week 8
Tomato Beefsteak,2023-09-25,harvest_in,128,Cold Room 1,2023-10-09,P001 week 9
Tomato Beefsteak,2023-10-02,sale_out,-130,Cold Room 1,,Farmers market
Tomato Beefsteak,2023-10-02,harvest_in,112,Cold Room 1,2023-10-16,P001 week 10
Tomato Beefsteak,2023-10-09,harvest_in,98,Cold Room 1,2023-10-23,P001 week 11
Tomato Beefsteak,2023-10-16,sale_out,-120,Cold Room 1,,CSA program
Tomato Beefsteak,2023-10-16,harvest_in,85,Cold Room 1,2023-10-30,P001 week 12
Tomato Beefsteak,2023-10-23,harvest_in,65,Cold Room 1,2023-11-06,P001 week 13
Tomato Beefsteak,2023-10-30,harvest_in,48,Cold Room 1,2023-11-13,P001 week 14
Tomato Beefsteak,2023-11-06,sale_out,-80,Cold Room 1,,Final market
Tomato Beefsteak,2023-11-06,harvest_in,32,Cold Room 1,2023-11-20,P001 week 15
Tomato Beefsteak,2023-11-08,harvest_in,18,Cold Room 1,2023-11-22,P001 week 16 end
Tomato Beefsteak,2023-11-15,waste_out,-15,Cold Room 1,,Spoilage
Tomato Cherry,2023-06-21,harvest_in,48,Flat Storage,2023-06-28,P003 week 1
Tomato Cherry,2023-06-28,harvest_in,52,Flat Storage,2023-07-05,P003 week 2
Tomato Cherry,2023-07-05,harvest_in,50,Flat Storage,2023-07-12,P003 week 3
Tomato Cherry,2023-07-05,sale_out,-50,Flat Storage,,Farmers market
