Channel Name,Product Name,Sale Date,Actual Quantity,Actual Revenue,Actual Price,Brought Quantity,Returned Quantity,Notes
Farmers Market Saturday,Tomato Beefsteak Box (2 lb),2023-08-05,8,68.00,8.50,10,2,Good sales
Farmers Market Saturday,Tomato Cherry Pint,2023-08-05,12,54.00,4.50,15,3,
Farmers Market Saturday,Lettuce Mix Clamshell,2023-08-05,20,79.80,3.99,25,5,Slow sales - heat
Farmers Market Saturday,Bell Pepper Mix (3 ea),2023-08-05,15,89.85,5.99,18,3,
Farmers Market Saturday,Basil Bunch,2023-08-05,10,39.90,3.99,12,2,
Farmers Market Saturday,Tomato Beefsteak Box (2 lb),2023-08-12,10,85.00,8.50,12,2,
Farmers Market Saturday,Tomato Cherry Pint,2023-08-12,14,63.00,4.50,16,2,
Farmers Market Saturday,Carrot Bunch,2023-08-12,18,53.82,2.99,20,2,
Farmers Market Saturday,Cucumber Single,2023-08-12,25,37.50,1.50,30,5,
Farmers Market Saturday,Bell Pepper Single,2023-08-12,20,50.00,2.50,22,2,
Farmers Market Saturday,Basil Bunch,2023-08-12,12,47.88,3.99,14,2,
CSA Program,Tomato Beefsteak Bulk,2023-08-10,20,139.80,6.99,20,0,CSA box
CSA Program,Lettuce Mix Bulk,2023-08-10,15,44.85,2.99,15,0,
CSA Program,Spinach Bunch,2023-08-10,12,30.00,2.50,12,0,
CSA Program,Carrot Bulk,2023-08-10,10,19.90,1.99,10,0,
CSA Program,Tomato Cherry Bulk,2023-08-10,8,63.92,7.99,8,0,
Farmers Market Sunday,Tomato Beefsteak Bulk,2023-08-06,12,83.88,6.99,15,3,Sunday market
Farmers Market Sunday,Lettuce Mix Clamshell,2023-08-06,18,71.82,3.99,22,4,
Farmers Market Sunday,Bell Pepper Mix (3 ea),2023-08-06,10,59.90,5.99,12,2,
Farmers Market Sunday,Basil Bunch,2023-08-06,8,31.92,3.99,10,2,
Farmers Market Sunday,Cucumber Bulk,2023-08-06,15,44.85,2.99,18,3,
Wholesale Produce,Tomato Beefsteak Bulk,2023-08-07,50,349.50,6.99,50,0,Restaurant
Wholesale Produce,Lettuce Mix Bulk,2023-08-07,30,89.70,2.99,30,0,
Wholesale Produce,Carrot Bulk,2023-08-07,40,79.60,1.99,40,0,
Wholesale Produce,Bell Pepper Single,2023-08-07,35,87.50,2.50,35,0,
Farm Store,Tomato Beefsteak Box (2 lb),2023-08-08,5,42.50,8.50,5,0,Farm store regular
Farm Store,Lettuce Mix Clamshell,2023-08-08,8,31.92,3.99,8,0,
Farm Store,Carrot Bunch,2023-08-08,10,29.90,2.99,10,0,
Farm Store,Basil Bunch,2023-08-08,4,15.96,3.99,4,0,
Farm Store,Potato Bulk,2023-08-08,3,4.47,1.49,3,0,
Restaurant Direct,Tomato Beefsteak Bulk,2023-08-09,35,244.65,6.99,35,0,Fine dining
Restaurant Direct,Basil Bunch,2023-08-09,20,79.80,3.99,20,0,
Restaurant Direct,Bell Pepper Single,2023-08-09,25,62.50,2.50,25,0,
