Crop,Type,Botanical Family,Propagation Type,Is Perennial,Fresh or Storage,Storage Weeks,Can Hold In Field,Harvest Units,Average Unit Weight,Units Per Bin,Harvest Bin,Harvest Tools,Harvest Rate (units per hour),Nursery Weeks,Weeks Until Pot Up,Pot Up Tray Size,Seeded Tray Size,Seeds Per Cell,Thinned Plants,Seeds Per Ounce
Arugula,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Asparagus,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Basil,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Beets Golden,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Beets Red,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Bitter Melon,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Bok Choy,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Broccolini,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Brussels Sprouts,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cabbage Chinese,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cabbage Chinese Red,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cabbage Cone,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cabbage Flat,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cabbage Green Storage,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Beets Bulk Golden,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Beets Bulk Red,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Carrot,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cauliflower,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cauliflower Purple,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cauliflower Romanesco,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cauliflower Sprouting,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Celery,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cilantro,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cucumber,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cucumber Persian,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Cucumber Pickling,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Dandelion,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Dill,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Eggplant Asian,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Eggplant Italian Black,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Eggplant Italian Striped,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Eggplant Mini,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Escarole,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Fennel,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Garlic Green,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Garlic Scape,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Braising Mix,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Kohlrabi,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Lettuce Mini Gem,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Okra,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Onion Spring,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Parsley,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Pea Shelling,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Pea Snap,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
Pepper Carmen,Unknown,Unknown,seed,false,Fresh,0,FALSE,units,1,na,Bin,Unknown,na,0,na,na,na,na,na,na
