Crop Name,Product Name,Sale Price,Sale Unit,Harvest Qty Per Sale Unit,SKU,Is Active
Arugula,Arugula - 1/3 lb,0,each,1,AUTO-0001,true
Arugula,Arugula - 2/3 lb,0,each,1,AUTO-0002,true
Asparagus,Asparagus - bu,0,each,1,AUTO-0003,true
Basil,Basil - bu,0,each,1,AUTO-0004,true
Arugula,Arugula Wild - 1/3 lb,0,each,1,AUTO-0005,true
Beets Golden,Beets Golden - bu,0,each,1,AUTO-0006,true
Beets Red,Beets Red - bu,0,each,1,AUTO-0007,true
Bitter Melon,Bitter Melon - lb,0,each,1,AUTO-0008,true
Bok Choy,Bok Choy - ea,0,each,1,AUTO-0009,true
Broccolini,Broccolini - bu,0,each,1,AUTO-0010,true
Brussels Sprouts,Brussels Sprouts - ea,0,each,1,AUTO-0011,true
Cabbage Chinese,Cabbage Chinese - lb,0,each,1,AUTO-0012,true
Cabbage Chinese Red,Cabbage Chinese Red - lb,0,each,1,AUTO-0013,true
Cabbage Cone,Cabbage Cone - lb,0,each,1,AUTO-0014,true
Cabbage Flat,Cabbage Flat - lb,0,each,1,AUTO-0015,true
Cabbage Green Storage,Cabbage Green Storage - lb,0,each,1,AUTO-0016,true
Beets Bulk Golden,Beets Bulk Golden - lb,0,each,1,AUTO-0017,true
Beets Bulk Red,Beets Bulk Red - lb,0,each,1,AUTO-0018,true
Carrot,Carrot - bu,0,each,1,AUTO-0019,true
Cauliflower,Cauliflower - lb,0,each,1,AUTO-0020,true
Cauliflower Purple,Cauliflower Purple - lb,0,each,1,AUTO-0021,true
Cauliflower Romanesco,Cauliflower Romanesco - lb,0,each,1,AUTO-0022,true
Cauliflower Sprouting,Cauliflower Sprouting - lb,0,each,1,AUTO-0023,true
Celery,Celery - bu,0,each,1,AUTO-0024,true
Cilantro,Cilantro - bu,0,each,1,AUTO-0025,true
Cucumber,Cucumber - lb,0,each,1,AUTO-0026,true
Cucumber Persian,Cucumber Persian - lb,0,each,1,AUTO-0027,true
Cucumber Pickling,Cucumber Pickling - lb,0,each,1,AUTO-0028,true
Dandelion,Dandelion - bu,0,each,1,AUTO-0029,true
Dill,Dill - bu,0,each,1,AUTO-0030,true
Eggplant Asian,Eggplant Asian - lb,0,each,1,AUTO-0031,true
Eggplant Italian Black,Eggplant Italian Black - lb,0,each,1,AUTO-0032,true
Eggplant Italian Striped,Eggplant Italian Striped - lb,0,each,1,AUTO-0033,true
Eggplant Mini,Eggplant Mini - Pt,0,each,1,AUTO-0034,true
Eggplant Mini,Eggplant Mini - Qt,0,each,1,AUTO-0035,true
Escarole,Escarole - ea,0,each,1,AUTO-0036,true
Fennel,Fennel - ea,0,each,1,AUTO-0037,true
Garlic Green,Garlic Green - bu,0,each,1,AUTO-0038,true
Garlic Scape,Garlic Scape - bu,0,each,1,AUTO-0039,true
Bok Choy,Bok Choy - lb,0,each,1,AUTO-0040,true
Braising Mix,Braising Mix - 1 lb,0,each,1,AUTO-0041,true
Kohlrabi,Kohlrabi - bu,0,each,1,AUTO-0042,true
